/hit (dt=0) X,/hit (dt=0) Y,/hit (dt=1e-10) X,/hit (dt=1e-10) Y,/hit (dt=2e-10) X,/hit (dt=2e-10) Y,/hit (dt=3e-10) X,/hit (dt=3e-10) Y,/hit (dt=4e-10) X,/hit (dt=4e-10) Y,/net8 (dt=0) X,/net8 (dt=0) Y,/net8 (dt=1e-10) X,/net8 (dt=1e-10) Y,/net8 (dt=2e-10) X,/net8 (dt=2e-10) Y,/net8 (dt=3e-10) X,/net8 (dt=3e-10) Y,/net8 (dt=4e-10) X,/net8 (dt=4e-10) Y
5.706738493206771e-09,-0.0002367057054778984,5.696543378522229e-09,-0.000239984627684414,5.65872309874815e-09,-0.0002534318694720565,5.604194336620344e-09,-0.000249486463957524,5.589338853988786e-09,-0.0002725008086441789,5.706738493206771e-09,0.8480861918481244,5.696543378522229e-09,0.8948150677833426,5.65872309874815e-09,0.9174461974962987,5.604194336620344e-09,0.9125830098610324,5.589338853988786e-09,1.136033123932712
5.725962272423422e-09,-0.0002123228568299416,5.719715649683699e-09,-0.0002035686799212039,5.677555091502719e-09,-0.0002472497950335852,5.614773805807423e-09,-0.0002577302653575225,5.600000000000001e-09,-0.0002692889111314843,5.725962272423422e-09,0.8711547269081061,5.719715649683699e-09,0.9295734745255482,5.677555091502719e-09,0.9551101830054367,5.614773805807423e-09,0.9443214174222665,5.600000000000001e-09,1.2
5.750337676245198e-09,-0.0001208473684388442,5.753228701755539e-09,-1.133724102614925e-05,5.704286118469652e-09,-0.0002135247972303482,5.628044950142806e-09,-0.0002595556955399024,5.603246065237107e-09,-0.0002718985025109999,5.750337676245198e-09,0.9004052114942372,5.753228701755539e-09,0.9798430526333083,5.704286118469652e-09,1.008572236939304,5.628044950142806e-09,0.9841348504284155,5.603246065237107e-09,1.2
5.786944963805667e-09,0.0003790882901097104,5.806813880663191e-09,0.001738351570363571,5.745989408837755e-09,3.802820294225524e-05,5.646139265671449e-09,-0.0002567929780920568,5.608740775987092e-09,-0.0002717817647525527,5.786944963805667e-09,0.9443339565668007,5.806813880663191e-09,1.060220820994787,5.745989408837755e-09,1.091978817675509,5.646139265671449e-09,1.038417797014346,5.608740775987092e-09,1.2
5.844701065599593e-09,0.004609833228121294,5.853406940331596e-09,0.008010857238943542,5.800000000000001e-09,0.002065927653839395,5.673027511061068e-09,-0.0002431802884123967,5.613802396416171e-09,-0.000267864314947443,5.844701065599593e-09,1.013641278719512,5.853406940331596e-09,1.130110410497393,5.800000000000001e-09,1.2,5.673027511061068e-09,1.119082533183204,5.613802396416171e-09,1.2
5.927830460608816e-09,0.03701791033557045,5.9e-09,0.02517976983344809,5.816228689571883e-09,0.003713402445524871,5.700000000000001e-09,-0.0001969138373664988,5.62392563727433e-09,-0.0002615602615799755,5.927830460608816e-09,1.113396552730579,5.9e-09,1.2,5.816228689571883e-09,1.2,5.700000000000001e-09,1.2,5.62392563727433e-09,1.2
5.963915230304408e-09,0.07215557161360936,5.917256409134227e-09,0.03667538751727881,5.838693021196715e-09,0.007175074775819085,5.707173583722355e-09,-0.0001737181737560966,5.637561687465523e-09,-0.0002541828980748881,5.963915230304408e-09,1.156698276365289,5.917256409134227e-09,1.2,5.838693021196715e-09,1.2,5.707173583722355e-09,1.2,5.637561687465523e-09,1.2
6e-09,0.1385877380024488,5.941100412762205e-09,0.057255289682644,5.859788722211322e-09,0.01268980472321571,5.719779553351087e-09,-0.0001103432436866429,5.662559110662797e-09,-0.0002387568594051266,6e-09,1.2,5.941100412762205e-09,1.2,5.859788722211322e-09,1.2,5.719779553351087e-09,1.2,5.662559110662797e-09,1.2
6.011914318081002e-09,0.1725957131840294,5.963179925660188e-09,0.08575624317886719,5.901980124240536e-09,0.03297252056799233,5.731313689849185e-09,-1.162102094303582e-05,5.705838901228375e-09,-0.0001298736134208917,6.011914318081002e-09,1.2,5.963179925660188e-09,1.2,5.901980124240536e-09,1.2,5.731313689849185e-09,1.2,5.705838901228375e-09,1.2
6.03323984860806e-09,0.2440897084780555,5.995441499976665e-09,0.1523429233255434,5.96101469665953e-09,0.1010077274977389,5.754381962845383e-09,0.000375064090524895,5.778579394242768e-09,0.001892730287363119,6.03323984860806e-09,1.2,5.995441499976665e-09,1.2,5.96101469665953e-09,1.2,5.754381962845383e-09,1.2,5.778579394242768e-09,1.2
