/time (G=3) X,/time (G=3) Y,/time (G=5) X,/time (G=5) Y,/time (G=7) X,/time (G=7) Y,/time (G=9) X,/time (G=9) Y,/net6 (G=3) X,/net6 (G=3) Y,/net6 (G=5) X,/net6 (G=5) Y,/net6 (G=7) X,/net6 (G=7) Y,/net6 (G=9) X,/net6 (G=9) Y
2.443784074553823e-09,0.2712261386590962,2.474070334145942e-09,-0.06887125554530363,2.43602866703102e-09,-0.08902199229604438,2.430206209621655e-09,-0.174374440347984,2.443784074553823e-09,0.02877936991234004,2.474070334145942e-09,0.0493542370580861,2.43602866703102e-09,0.06582198353074718,2.430206209621655e-09,0.08386985273561703
2.472266839836727e-09,0.2289604878993807,2.485481732557907e-09,-0.1288373005878787,2.445722606031312e-09,-0.1412947667506807,2.439919329679688e-09,-0.1809191710877722,2.472266839836727e-09,0.02975664354357187,2.485481732557907e-09,0.05000981311792085,2.445722606031312e-09,0.06660151075743843,2.439919329679688e-09,0.08488299713971299
2.49523371771348e-09,0.1689891885591032,2.4941401312473e-09,-0.1576099086526226,2.452589076325408e-09,-0.1628815602567633,2.447524021284667e-09,-0.1824077191576288,2.49523371771348e-09,0.0305480458087089,2.4941401312473e-09,0.05050824289531071,2.452589076325408e-09,0.06716094888830315,2.447524021284667e-09,0.08571347680398669
2.517941471339316e-09,0.08460951263550451,2.503215599013668e-09,-0.1729235878780089,2.460934156422558e-09,-0.1757361145453504,2.456316761540186e-09,-0.1832217942555978,2.517941471339316e-09,0.03104154022327512,2.503215599013668e-09,0.05095130227425784,2.460934156422558e-09,0.06783169240681032,2.456316761540186e-09,0.08659836939458038
2.540526581662729e-09,-0.0172870643968116,2.511276533945042e-09,-0.1789246619225936,2.471608773416232e-09,-0.1814490253758698,2.465862538202654e-09,-0.1837470618611256,2.540526581662729e-09,0.03139947463014077,2.511276533945042e-09,0.05120369563894524,2.471608773416232e-09,0.06869450183458857,2.465862538202654e-09,0.08753453249289256
2.554972170711267e-09,-0.08448281537342633,2.520601854673222e-09,-0.1818368359443639,2.479840732226678e-09,-0.1826671204148123,2.478250824674774e-09,-0.1841807290302359,2.554972170711267e-09,0.03156599496502076,2.520601854673222e-09,0.05147427831331067,2.479840732226678e-09,0.06936296121896508,2.478250824674774e-09,0.08876986704025118
2.565884828560334e-09,-0.127055221386833,2.530472275616882e-09,-0.182989420517257,2.489558954078492e-09,-0.1833364586425871,2.489081617639414e-09,-0.1844336293166653,2.565884828560334e-09,0.03168551638700062,2.530472275616882e-09,0.05176861012208205,2.489558954078492e-09,0.07016682066727067,2.489081617639414e-09,0.08988487294698196
2.577990358452497e-09,-0.1572750261191432,2.543070573825138e-09,-0.1836192776022241,2.500101956734158e-09,-0.1838309433050266,2.501793809441116e-09,-0.1846495363597095,2.577990358452497e-09,0.03182090484980622,2.543070573825138e-09,0.0520519788162082,2.500101956734158e-09,0.07098121460001451,2.501793809441116e-09,0.09110389896280038
2.588652489602672e-09,-0.1709768337575255,2.559863740228923e-09,-0.1841437831824898,2.514438021925766e-09,-0.1843050445228536,2.51862153555588e-09,-0.1848411719554538,2.588652489602672e-09,0.03191234443984044,2.559863740228923e-09,0.05237271583620313,2.514438021925766e-09,0.07157157259070462,2.51862153555588e-09,0.09204606975333757
2.6e-09,-0.1780028276395073,2.574782706704225e-09,-0.1845103696836704,2.528359560795933e-09,-0.1846016359199649,2.531201751997578e-09,-0.184914272818318,2.6e-09,0.03199233817869494,2.574782706704225e-09,0.05261670947259606,2.528359560795933e-09,0.07210601086760655,2.531201751997578e-09,0.09268090970859462
2.608125e-09,-0.1801469445594349,2.596378874381032e-09,-0.1848395904625573,2.542149754251815e-09,-0.184793308027742,2.556362184880974e-09,-0.1848241456854892,2.608125e-09,0.03178746158314747,2.596378874381032e-09,0.05287864748719538,2.542149754251815e-09,0.07257031033314774,2.556362184880974e-09,0.09358617302942364
2.615278275639135e-09,-0.1816615803448763,2.6e-09,-0.1848697476096759,2.558631195008689e-09,-0.184923042408827,2.591912086072788e-09,-0.1837745020002747,2.615278275639135e-09,0.03159593441182321,2.6e-09,0.05291683496614567,2.558631195008689e-09,0.07297391011162702,2.591912086072788e-09,0.09452406562814873
2.627777987822477e-09,-0.1831206624439228,2.607242251237935e-09,-0.1849044703434039,2.583025561471654e-09,-0.1848906181715268,2.6e-09,-0.183318520455403,2.627777987822477e-09,0.03121514590035374,2.607242251237935e-09,0.05261044455982723,2.583025561471654e-09,0.07356405996600254,2.6e-09,0.09470143808541191
2.652777412189161e-09,-0.1842681972167449,2.614484502475871e-09,-0.1849259348680954,2.6e-09,-0.1846452587862131,2.608125e-09,-0.1826964672782908,2.652777412189161e-09,0.03037463046226881,2.614484502475871e-09,0.05228453528331957,2.6e-09,0.0738279483981631,2.608125e-09,0.09406200272223979
2.678211635303753e-09,-0.1846800783790775,2.627345931907155e-09,-0.1848950557416203,2.608125e-09,-0.1844160809033182,2.61625e-09,-0.1819917247861598,2.678211635303753e-09,0.02951502187953224,2.627345931907155e-09,0.05162809078686317,2.608125e-09,0.07334042241538853,2.61625e-09,0.09338833710522455
2.7e-09,-0.1849107547704698,2.653068790769725e-09,-0.184484314751762,2.616491479509449e-09,-0.184130011162655,2.629584833443644e-09,-0.180467889354453,2.7e-09,0.02878732752865005,2.653068790769725e-09,0.05016273307254216,2.616491479509449e-09,0.07280670039397998,2.629584833443644e-09,0.09210952550660652
2.705416666666667e-09,-0.1849409643171995,2.676534395384863e-09,-0.183499617938533,2.633224438528347e-09,-0.1832327553529231,2.656254500330933e-09,-0.17581155872586,2.705416666666667e-09,0.02845787878908008,2.676534395384863e-09,0.0488137814878262,2.633224438528347e-09,0.07153319548234932,2.656254500330933e-09,0.08926649364935711
2.71625e-09,-0.184977840517237,2.688267197692431e-09,-0.1826892424896092,2.665628273825575e-09,-0.1798765123016499,2.678127250165466e-09,-0.1699551645605111,2.71625e-09,0.02767345147602868,2.688267197692431e-09,0.04814430395022908,2.665628273825575e-09,0.06888834626635262,2.678127250165466e-09,0.08691781637677617
2.737916666666665e-09,-0.1848585741835043,2.694133598846216e-09,-0.1821817472946996,2.682814136912788e-09,-0.1769695312951503,2.7e-09,-0.1614944407237638,2.737916666666665e-09,0.02516213196846824,2.694133598846216e-09,0.04780684861760953,2.682814136912788e-09,0.06748243700825582,2.7e-09,0.08457753743180946
2.775445184016757e-09,-0.1837013174540171,2.7e-09,-0.1815976676103165,2.7e-09,-0.1729634619498168,2.705416666666667e-09,-0.1588206995228731,2.775445184016757e-09,0.0187805521838529,2.7e-09,0.04747080015745785,2.7e-09,0.06607742727610887,2.705416666666667e-09,0.08353865962566298
2.803235978442548e-09,-0.1816027034889831,2.705416666666667e-09,-0.1809620208852842,2.705416666666667e-09,-0.1713919748364685,2.71625e-09,-0.1529200195246158,2.803235978442548e-09,0.01318188188176187,2.705416666666667e-09,0.04691494728233315,2.705416666666667e-09,0.06528359251244439,2.71625e-09,0.08096269827650339
2.816721712466075e-09,-0.1800152120519351,2.710833333333333e-09,-0.1802844307362713,2.712950843251293e-09,-0.1690478464301376,2.732342932495671e-09,-0.1418846702925956,2.816721712466075e-09,0.01063097284526384,2.710833333333333e-09,0.04632196637411344,2.712950843251293e-09,0.06400616110471992,2.732342932495671e-09,0.07514540816071508
2.829231032497358e-09,-0.1781154803309117,2.721666666666666e-09,-0.1786680187518821,2.728019196420546e-09,-0.1633374613452871,2.757049794764182e-09,-0.1177486987907383,2.829231032497358e-09,0.007945456272593528,2.721666666666666e-09,0.04480525904770817,2.728019196420546e-09,0.06032965337520507,2.757049794764182e-09,0.06201038838949969
