/hit (dt=0) X,/hit (dt=0) Y,/hit (dt=1e-10) X,/hit (dt=1e-10) Y,/hit (dt=2e-10) X,/hit (dt=2e-10) Y,/hit (dt=3e-10) X,/hit (dt=3e-10) Y,/hit (dt=4e-10) X,/hit (dt=4e-10) Y,/net8 (dt=0) X,/net8 (dt=0) Y,/net8 (dt=1e-10) X,/net8 (dt=1e-10) Y,/net8 (dt=2e-10) X,/net8 (dt=2e-10) Y,/net8 (dt=3e-10) X,/net8 (dt=3e-10) Y,/net8 (dt=4e-10) X,/net8 (dt=4e-10) Y
6.282410473636157e-09,0.898650169133314,6.236959659392519e-09,0.8966521610856498,6.230388557460338e-09,0.8961605062205058,6.17513819807028e-09,0.8868002568976373,6.144102454985289e-09,0.8726356400392495,6.282410473636157e-09,1.2,6.236959659392519e-09,1.2,6.230388557460338e-09,1.2,6.17513819807028e-09,1.2,6.144102454985289e-09,1.2
6.342122144729783e-09,0.8993816592705668,6.285488347451351e-09,0.8986886737297093,6.276532725754001e-09,0.8984789487826998,6.197798518633164e-09,0.8920757750649378,6.154678346287521e-09,0.8789039781140429,6.342122144729783e-09,1.2,6.285488347451351e-09,1.2,6.276532725754001e-09,1.2,6.197798518633164e-09,1.2,6.154678346287521e-09,1.2
6.408434604695361e-09,0.8996080763208001,6.345157495369751e-09,0.8993966297376116,6.337284867880299e-09,0.899351085125497,6.228186325493454e-09,0.8959673534220484,6.17412432077281e-09,0.8867074342866814,6.408434604695361e-09,1.2,6.345157495369751e-09,1.2,6.337284867880299e-09,1.2,6.228186325493454e-09,1.2,6.17412432077281e-09,1.2
6.477777576053775e-09,0.8996431270617773,6.412036288253626e-09,0.8996099422391094,6.400876270974466e-09,0.8995912070131173,6.273634564574109e-09,0.8983971232988013,6.198234404672646e-09,0.8923178448341751,6.477777576053775e-09,1.2,6.412036288253626e-09,1.2,6.400876270974466e-09,1.2,6.273634564574109e-09,1.2,6.198234404672646e-09,1.2
6.546933325026896e-09,0.8996538199343511,6.506225969325431e-09,0.8996559983759663,6.464801286421421e-09,0.8996431689730662,6.335029830488411e-09,0.8993365724520369,6.235543734811814e-09,0.8966369978367114,6.546933325026896e-09,1.2,6.506225969325431e-09,1.2,6.464801286421421e-09,1.2,6.335029830488411e-09,1.2,6.235543734811814e-09,1.2
6.626559472265559e-09,0.8996539448757839,6.575650770011059e-09,0.8996534468470408,6.533706713597821e-09,0.899651837639898,6.397730249872299e-09,0.8995843935839342,6.281775982839439e-09,0.8986237773089449,6.626559472265559e-09,1.2,6.575650770011059e-09,1.2,6.533706713597821e-09,1.2,6.397730249872299e-09,1.2,6.281775982839439e-09,1.2
6.767654211800099e-09,0.8996553691193487,6.664940729499059e-09,0.8996558914976107,6.610246096965412e-09,0.899655556302154,6.462186568570279e-09,0.8996429666995331,6.3424797718024e-09,0.899394273778917,6.767654211800099e-09,1.2,6.664940729499059e-09,1.2,6.610246096965412e-09,1.2,6.462186568570279e-09,1.2,6.3424797718024e-09,1.2
7.049843690869178e-09,0.8996540806129935,6.803602837643842e-09,0.899654468885377,6.73240825522986e-09,0.8996544067463981,6.53122334705388e-09,0.899651317348438,6.407792242811727e-09,0.8996020863014522,7.049843690869178e-09,1.2,6.803602837643842e-09,1.2,6.73240825522986e-09,1.2,6.53122334705388e-09,1.2,6.407792242811727e-09,1.2
7.502694333475369e-09,0.8996551277476551,7.071849717316056e-09,0.8996548988008779,6.976732571758756e-09,0.89965520099403,6.607095281355199e-09,0.8996559377114813,6.504426520192232e-09,0.8996594301962828,7.502694333475369e-09,1.2,7.071849717316056e-09,1.2,6.976732571758756e-09,1.2,6.607095281355199e-09,1.2,6.504426520192232e-09,1.2
8.202694333475368e-09,0.899653951214003,7.510898865295366e-09,0.8996544483818545,7.344825614859086e-09,0.8996542335302962,6.725367950572748e-09,0.8996542376749996,6.573604739515424e-09,0.8996518479346733,8.202694333475368e-09,1.2,7.510898865295366e-09,1.2,7.344825614859086e-09,1.2,6.725367950572748e-09,1.2,6.573604739515424e-09,1.2
