/hit (dt=0) X,/hit (dt=0) Y,/hit (dt=0.004) X,/hit (dt=0.004) Y,/hit (dt=0.008) X,/hit (dt=0.008) Y,/hit (dt=0.012) X,/hit (dt=0.012) Y,/hit (dt=0.016) X,/hit (dt=0.016) Y,/hit (dt=0.02) X,/hit (dt=0.02) Y,/net8 (dt=0) X,/net8 (dt=0) Y,/net8 (dt=0.004) X,/net8 (dt=0.004) Y,/net8 (dt=0.008) X,/net8 (dt=0.008) Y,/net8 (dt=0.012) X,/net8 (dt=0.012) Y,/net8 (dt=0.016) X,/net8 (dt=0.016) Y,/net8 (dt=0.02) X,/net8 (dt=0.02) Y
2.052502828286438e-09,0.0002504843324295837,2.032744518693185e-09,3.032662563527701e-05,2.05339999868854e-09,0.000592039811224888,2.126352890333113e-09,0.01081782226150662,2.150045322000535e-09,0.02174489263664199,2.054756555254708e-09,0.001596645241146174,2.052502828286438e-09,0.6,2.032744518693185e-09,0.604,2.05339999868854e-09,0.608,2.126352890333113e-09,0.612,2.150045322000535e-09,0.616,2.054756555254708e-09,0.62
2.089920204039102e-09,0.001808680817825532,2.050946225853272e-09,0.000336979176996233,2.091384845236006e-09,0.003024505016209351,2.177770075076348e-09,0.03484512300213374,2.210561825475079e-09,0.07347145482303256,2.093731105156007e-09,0.006234364598645569,2.089920204039102e-09,0.6,2.050946225853272e-09,0.604,2.091384845236006e-09,0.608,2.177770075076348e-09,0.612,2.210561825475079e-09,0.616,2.093731105156007e-09,0.62
2.129570999411006e-09,0.006818795752027871,2.087349640173446e-09,0.002030451023361227,2.130982221920952e-09,0.01004098793548614,2.235676860460039e-09,0.104447277622024,2.259751915665418e-09,0.175538013785432,2.134756394017633e-09,0.01823012734314407,2.129570999411006e-09,0.6,2.087349640173446e-09,0.604,2.130982221920952e-09,0.608,2.235676860460039e-09,0.612,2.259751915665418e-09,0.616,2.134756394017633e-09,0.62
2.196284061328146e-09,0.03421728067196776,2.125651817853157e-09,0.007159533957428009,2.196432771783215e-09,0.04430862575952245,2.280654413787196e-09,0.2244525451312811,2.297667106460689e-09,0.3150206929477551,2.195511199889651e-09,0.06400528712792823,2.196284061328146e-09,0.6,2.125651817853157e-09,0.604,2.196432771783215e-09,0.608,2.280654413787196e-09,0.612,2.297667106460689e-09,0.616,2.195511199889651e-09,0.62
2.254533518746947e-09,0.1026021938689833,2.194120235440729e-09,0.03695165163787428,2.251649523201519e-09,0.1219193712330813,2.316049079213482e-09,0.3731362037663726,2.332922005804963e-09,0.483979074687938,2.246033451654106e-09,0.1580783964688887,2.254533518746947e-09,0.6,2.194120235440729e-09,0.604,2.251649523201519e-09,0.608,2.316049079213482e-09,0.612,2.332922005804963e-09,0.616,2.246033451654106e-09,0.62
2.301512841318653e-09,0.2281529846388388,2.251370120433576e-09,0.1072099460559939,2.29586605124496e-09,0.2540155039221079,2.355649228419831e-09,0.572021158342359,2.360102845409678e-09,0.6253020517176162,2.285328426794945e-09,0.2943631600166356,2.301512841318653e-09,0.6,2.251370120433576e-09,0.604,2.29586605124496e-09,0.608,2.355649228419831e-09,0.612,2.360102845409678e-09,0.616,2.285328426794945e-09,0.62
2.337278165375391e-09,0.3796585665014566,2.298095807710745e-09,0.2363684999449487,2.330485700931915e-09,0.4077896987146297,2.387396463505497e-09,0.7321564519690393,2.38932418681537e-09,0.7645443258051133,2.319849735046529e-09,0.4563046370144918,2.337278165375391e-09,0.6,2.298095807710745e-09,0.604,2.330485700931915e-09,0.608,2.387396463505497e-09,0.612,2.38932418681537e-09,0.616,2.319849735046529e-09,0.62
2.377589649974615e-09,0.5828281764320686,2.333399615591982e-09,0.3883486282822657,2.358154617133231e-09,0.5482293652878698,2.415283761319488e-09,0.8299069974212181,2.413398324946079e-09,0.8385072088537084,2.34211242153104e-09,0.57123321046011,2.377589649974615e-09,0.6,2.333399615591982e-09,0.604,2.358154617133231e-09,0.608,2.415283761319488e-09,0.612,2.413398324946079e-09,0.616,2.34211242153104e-09,0.62
2.409325140273891e-09,0.7411717802787451,2.375635186963558e-09,0.6022999251105998,2.388472937286547e-09,0.70411980560166,2.435469246531136e-09,0.8626011709023884,2.432741682965489e-09,0.8656322332681496,2.371414089185747e-09,0.7203629079136377,2.409325140273891e-09,0.6,2.375635186963558e-09,0.604,2.388472937286547e-09,0.608,2.435469246531136e-09,0.612,2.432741682965489e-09,0.616,2.371414089185747e-09,0.62
2.436783314846815e-09,0.8337781800024107,2.406698954835436e-09,0.7541844277428784,2.416567887622621e-09,0.814162938146995,2.458906378104788e-09,0.8799936464044079,2.451365039555534e-09,0.8788644372411629,2.398181302587049e-09,0.8203908406444155,2.436783314846815e-09,0.6,2.406698954835436e-09,0.604,2.416567887622621e-09,0.608,2.458906378104788e-09,0.612,2.451365039555534e-09,0.616,2.398181302587049e-09,0.62
