/hit (dt=0) X,/hit (dt=0) Y,/hit (dt=0.004) X,/hit (dt=0.004) Y,/hit (dt=0.008) X,/hit (dt=0.008) Y,/hit (dt=0.012) X,/hit (dt=0.012) Y,/hit (dt=0.016) X,/hit (dt=0.016) Y,/hit (dt=0.02) X,/hit (dt=0.02) Y,/net8 (dt=0) X,/net8 (dt=0) Y,/net8 (dt=0.004) X,/net8 (dt=0.004) Y,/net8 (dt=0.008) X,/net8 (dt=0.008) Y,/net8 (dt=0.012) X,/net8 (dt=0.012) Y,/net8 (dt=0.016) X,/net8 (dt=0.016) Y,/net8 (dt=0.02) X,/net8 (dt=0.02) Y
2.871854742400638e-09,4.899763969486322e-07,2.947932166430116e-09,-6.568964936219782e-07,2.985617134796954e-09,-5.69379224464235e-06,2.908511772714164e-09,-2.040399713461417e-05,2.84216849198147e-09,-7.368877050894032e-05,2.904533465565838e-09,0.001620869914835846,2.871854742400638e-09,0.4,2.947932166430116e-09,0.404,2.985617134796954e-09,0.408,2.908511772714164e-09,0.412,2.84216849198147e-09,0.416,2.904533465565838e-09,0.42
3.143904274751717e-09,3.397813810394236e-07,3.239825356755287e-09,-1.729129839703627e-06,3.287728925098667e-09,-1.59933693260057e-05,2.964288188372405e-09,-2.999894674471409e-05,2.907367042082137e-09,-9.195315866871187e-05,3.020844946304425e-09,0.02306083507115709,3.143904274751717e-09,0.4,3.239825356755287e-09,0.404,3.287728925098667e-09,0.408,2.964288188372405e-09,0.412,2.907367042082137e-09,0.416,3.020844946304425e-09,0.42
3.504269501846216e-09,2.97088758059222e-07,3.628683118460186e-09,-4.142076546537807e-06,3.363018030625529e-09,-2.374155097399518e-05,3.075841019688887e-09,-5.460820706412716e-05,3.016365664132893e-09,0.0001142380465255949,3.081598297053803e-09,0.06304900566625177,3.504269501846216e-09,0.4,3.628683118460186e-09,0.404,3.363018030625529e-09,0.408,3.075841019688887e-09,0.412,3.016365664132893e-09,0.416,3.081598297053803e-09,0.42
3.995348546313702e-09,1.836657978726715e-08,4.164469320390598e-09,-1.154096065243989e-05,3.513596241679254e-09,-4.354133455596512e-05,3.197546189839893e-09,-6.436997505941029e-05,3.116076335672477e-09,0.00271985019686183,3.122713688798023e-09,0.1209889383186559,3.995348546313702e-09,0.4,4.164469320390598e-09,0.404,3.513596241679254e-09,0.408,3.197546189839893e-09,0.412,3.116076335672477e-09,0.416,3.122713688798023e-09,0.42
4.678875681131721e-09,-1.398449381808321e-07,4.277851567663018e-09,-1.885983583269203e-05,3.665746361523937e-09,-2.076844207204027e-05,3.341236681265543e-09,0.0005980517023902437,3.224197892135812e-09,0.02346656566632405,3.16920835987593e-09,0.2458322142653515,4.678875681131721e-09,0.4,4.277851567663018e-09,0.404,3.665746361523937e-09,0.408,3.341236681265543e-09,0.412,3.224197892135812e-09,0.416,3.16920835987593e-09,0.42
5.378875681131721e-09,-1.602338906010893e-07,4.504616062207856e-09,-1.606078757871493e-05,3.87916290835605e-09,0.001671659865314475,3.495409701623907e-09,0.01292527344160422,3.286970350375181e-09,0.06158430035322422,3.204679866454781e-09,0.38748485762942,5.378875681131721e-09,0.4,4.504616062207856e-09,0.404,3.87916290835605e-09,0.408,3.495409701623907e-09,0.412,3.286970350375181e-09,0.416,3.204679866454781e-09,0.42
6.07887568113172e-09,3.928648660185395e-07,4.73299507877965e-09,0.0001496017335177884,4.056614757088422e-09,0.018915298093598,3.622362997624207e-09,0.0754893831271357,3.331423900908636e-09,0.1184511797251734,3.233995981421847e-09,0.5228468581601708,6.07887568113172e-09,0.4,4.73299507877965e-09,0.404,4.056614757088422e-09,0.408,3.622362997624207e-09,0.412,3.331423900908636e-09,0.416,3.233995981421847e-09,0.42
6.77887568113172e-09,1.179305622845461e-06,4.997477860849947e-09,0.002237455324946206,4.15660613389432e-09,0.05404729195967241,3.674124469588772e-09,0.1449475736358389,3.380942189309093e-09,0.2413309228008496,3.267622048094803e-09,0.6837641153856486,6.77887568113172e-09,0.4,4.997477860849947e-09,0.404,4.15660613389432e-09,0.408,3.674124469588772e-09,0.412,3.380942189309093e-09,0.416,3.267622048094803e-09,0.42
7.478875681131719e-09,2.48123311795727e-06,5.230092450752621e-09,0.01327739236708886,4.221239030668926e-09,0.103459730565259,3.734436740856021e-09,0.3037773976904347,3.418256302248827e-09,0.3808294064734684,3.29889905397842e-09,0.8037999794224696,7.478875681131719e-09,0.4,5.230092450752621e-09,0.404,4.221239030668926e-09,0.408,3.734436740856021e-09,0.412,3.418256302248827e-09,0.416,3.29889905397842e-09,0.42
8.178875681131719e-09,4.297407108683004e-06,5.499865122448355e-09,0.06481430901222145,4.272862001845212e-09,0.1757717943399484,3.776858532035669e-09,0.4615003122571986,3.451561297835144e-09,0.5260242591426613,3.321665573964745e-09,0.8514391682382282,8.178875681131719e-09,0.4,5.499865122448355e-09,0.404,4.272862001845212e-09,0.408,3.776858532035669e-09,0.412,3.451561297835144e-09,0.416,3.321665573964745e-09,0.42
